"","Block_y","Tract","BID","Pdamage_avg","inv_dist_avg","Pdamage_PR","Efficiency_PR","SVI_PR_total","metric_sum","metric_PR","metric_wosvi_sum","metric_wosvi_PR"
"1",1000,515,1000515,0,0.072008547008547,0.327319587628866,0.0360824742268041,0.585051546391753,0.316151202749141,0.164948453608247,0.181701030927835,0.0360824742268041
"2",1001,514,1001514,0.0284718304761905,0.00830749276492007,0.881443298969072,0.747422680412371,0.518041237113402,0.715635738831615,0.84020618556701,0.814432989690722,0.835051546391753
"3",1001,515,1001515,3.33333333333333e-08,0.0326619980873618,0.698453608247423,0.201030927835052,0.371134020618557,0.423539518900344,0.381443298969072,0.449742268041237,0.47680412371134
"4",1002,514,1002514,0.0728365385714286,0.00937365232822676,0.922680412371134,0.685567010309278,0.577319587628866,0.728522336769759,0.850515463917526,0.804123711340206,0.819587628865979
"5",1003,514,1003514,0.109959724,0.00884143165810896,0.963917525773196,0.721649484536082,0.891752577319588,0.859106529209622,0.948453608247423,0.842783505154639,0.871134020618557
"6",1003,515,1003515,6.66666666666667e-08,0.0503205128205128,0.724226804123711,0.0670103092783505,1,0.597079037800687,0.701030927835051,0.395618556701031,0.365979381443299
"7",1004,515,1004515,1e-07,0.0486333927510398,0.75,0.0876288659793814,0.927835051546392,0.588487972508591,0.685567010309278,0.418814432989691,0.412371134020619
"8",1005,514,1005514,0.0971567671428571,0.00857259658436673,0.948453608247423,0.731958762886598,0.88659793814433,0.855670103092784,0.943298969072165,0.84020618556701,0.865979381443299
"9",1005,515,1005515,0,0.175769230769231,0.327319587628866,0.00515463917525773,0.984536082474227,0.439003436426117,0.427835051546392,0.166237113402062,0.00515463917525773
"10",1006,514,1006514,0.0164314377777778,0.00611963891510642,0.850515463917526,0.927835051546392,0.855670103092783,0.878006872852234,0.956185567010309,0.889175257731959,0.940721649484536
"11",1006,515,1006515,0,0.0352408573901449,0.327319587628866,0.154639175257732,0.646907216494845,0.376288659793814,0.29639175257732,0.240979381443299,0.134020618556701
"12",1007,515,1007515,0,0.0353183119648173,0.327319587628866,0.149484536082474,0.185567010309278,0.220790378006873,0.0309278350515464,0.23840206185567,0.128865979381443
