,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"(7413, 'dyne')",3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,2.5051546391752577,1.1185567010309279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7413, 'dyn1')",3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.3556701030927836,2.5051546391752577,1.9793814432989687,1.1185567010309279,0.824742268041237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7413, 'dyn2')",3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,1.9793814432989687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7413, 'dyn3')",3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,3.6030927835051547,1.8917525773195878,0.541237113402062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7537, 'dyne')",30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,29.6340206185567,28.34020618556701,26.427835051546396,24.03092783505155,21.61855670103093,19.36082474226804,17.551546391752577,15.335051546391755,11.48453608247423,6.144329896907216,2.340206185567011,0.0,0.0
"(7537, 'dyn1')",30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,29.226804123711343,26.427835051546396,24.03092783505155,21.61855670103093,19.36082474226804,17.551546391752577,14.969072164948455,12.159793814432991,8.75773195876289,5.804123711340207,1.8505154639175259,0.0,0.0
"(7537, 'dyn2')",30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,29.6340206185567,28.34020618556701,24.835051546391753,21.61855670103093,18.88144329896907,16.335051546391753,13.226804123711341,10.675257731958764,6.974226804123711,4.3659793814433,1.8505154639175259,0.0,0.0
"(7537, 'dyn3')",30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,30.92783505154639,27.943298969072163,25.00515463917526,22.154639175257735,17.56701030927835,13.27319587628866,9.360824742268042,5.994845360824742,4.360824742268042,2.8865979381443303,0.706185567010309,0.0,0.0,0.0
"(9689, 'dyne')",13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,12.154639175257731,10.22164948453608,9.10824742268041,7.4072164948453585,5.005154639175257,2.458762886597938,0.582474226804124,0.0,0.0,0.0,0.0,0.0,0.0
"(9689, 'dyn1')",13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,12.154639175257731,10.22164948453608,9.10824742268041,7.711340206185565,6.742268041237112,5.005154639175257,3.412371134020618,1.561855670103093,0.582474226804124,0.0,0.0,0.0,0.0
"(9689, 'dyn2')",13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.06185567010309,12.154639175257731,10.22164948453608,9.10824742268041,7.711340206185565,6.742268041237112,5.005154639175257,3.412371134020618,1.561855670103093,0.582474226804124,0.0,0.0,0.0
"(9689, 'dyn3')",13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.989690721649483,13.020618556701029,12.056701030927833,11.103092783505152,10.164948453608247,9.237113402061855,8.329896907216494,7.432989690721649,4.948453608247422,2.855670103092783,2.2010309278350513,0.7371134020618549,0.0,0.0
