,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"(7413, 'dyne')",3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,1.342783505154639,1.342783505154639,1.342783505154639,1.342783505154639,1.342783505154639,0.219072164948454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7413, 'dyn1')",3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,1.342783505154639,1.342783505154639,1.342783505154639,1.342783505154639,1.342783505154639,0.7912371134020619,0.219072164948454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896907216494845,0.0,0.0
"(7413, 'dyn2')",3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,1.342783505154639,1.342783505154639,1.342783505154639,1.342783505154639,1.342783505154639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7413, 'dyn3')",3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,3.479381443298968,1.342783505154639,1.342783505154639,1.342783505154639,1.342783505154639,1.342783505154639,0.219072164948454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7537, 'dyne')",32.920103092783506,10.641752577319588,31.925257731958766,31.925257731958766,28.12628865979382,12.595360824742269,12.595360824742269,11.239690721649485,4.461340206185568,4.461340206185568,4.461340206185568,4.461340206185568,4.461340206185568,2.95618556701031,1.9381443298969079,0.350515463917526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.608247422680412,0.0,0.0
"(7537, 'dyn1')",32.920103092783506,10.641752577319588,31.925257731958766,31.925257731958766,28.12628865979382,12.595360824742269,12.595360824742269,11.239690721649485,4.461340206185568,4.461340206185568,4.461340206185568,4.461340206185568,4.461340206185568,2.394329896907217,0.798969072164949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9175257731958757,0.0,0.0
"(7537, 'dyn2')",32.920103092783506,10.641752577319588,31.925257731958766,31.925257731958766,28.12628865979382,12.595360824742269,12.595360824742269,11.239690721649485,4.461340206185568,4.461340206185568,4.461340206185568,4.461340206185568,4.461340206185568,2.95618556701031,0.798969072164949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9175257731958757,0.0,0.0
"(7537, 'dyn3')",32.920103092783506,10.641752577319588,31.925257731958766,31.925257731958766,28.12628865979382,12.595360824742269,12.595360824742269,11.239690721649485,4.461340206185568,4.461340206185568,4.461340206185568,4.461340206185568,4.461340206185568,2.188144329896908,0.721649484536083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9689, 'dyne')",13.922680412371134,8.79896907216495,9.876288659793815,7.9329896907216515,5.226804123711341,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,2.9639175257731964,2.0309278350515463,0.49484536082474206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9689, 'dyn1')",13.922680412371134,8.79896907216495,9.876288659793815,7.9329896907216515,5.226804123711341,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,2.9639175257731964,2.0309278350515463,0.7989690721649481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9689, 'dyn2')",13.922680412371134,8.79896907216495,9.876288659793815,7.9329896907216515,5.226804123711341,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,3.701030927835052,2.6082474226804124,1.319587628865979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835051546391753,0.0,0.0
"(9689, 'dyn3')",13.922680412371134,8.79896907216495,9.876288659793815,7.9329896907216515,5.226804123711341,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,4.298969072164949,3.5618556701030935,2.850515463917526,1.154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835051546391753,0.0,0.0
