,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"(7413, 'dyne')",3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,2.056701030927836,2.056701030927836,2.056701030927836,2.056701030927836,2.056701030927836,0.371134020618557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7413, 'dyn1')",3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,2.056701030927836,2.056701030927836,2.056701030927836,2.056701030927836,2.056701030927836,1.221649484536083,0.371134020618557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876288659793814,0.0,0.0
"(7413, 'dyn2')",3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,2.056701030927836,2.056701030927836,2.056701030927836,2.056701030927836,2.056701030927836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7413, 'dyn3')",3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,3.9020618556701043,2.056701030927836,2.056701030927836,2.056701030927836,2.056701030927836,2.056701030927836,0.371134020618557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7537, 'dyne')",32.677835051546396,10.917525773195878,31.68298969072165,31.68298969072165,27.90979381443299,12.84536082474227,12.84536082474227,11.66494845360825,5.649484536082476,5.649484536082476,5.649484536082476,5.649484536082476,5.649484536082476,3.8298969072164963,2.5360824742268053,0.603092783505155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064432989690722,0.0,0.0
"(7537, 'dyn1')",32.677835051546396,10.917525773195878,31.68298969072165,31.68298969072165,27.90979381443299,12.84536082474227,12.84536082474227,11.66494845360825,5.649484536082476,5.649484536082476,5.649484536082476,5.649484536082476,5.649484536082476,3.0979381443298983,1.185567010309279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4561855670103099,0.0,0.0
"(7537, 'dyn2')",32.677835051546396,10.917525773195878,31.68298969072165,31.68298969072165,27.90979381443299,12.84536082474227,12.84536082474227,11.66494845360825,5.649484536082476,5.649484536082476,5.649484536082476,5.649484536082476,5.649484536082476,3.8298969072164963,1.185567010309279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4561855670103099,0.0,0.0
"(7537, 'dyn3')",32.677835051546396,10.917525773195878,31.68298969072165,31.68298969072165,27.90979381443299,12.84536082474227,12.84536082474227,11.66494845360825,5.649484536082476,5.649484536082476,5.649484536082476,5.649484536082476,5.649484536082476,2.896907216494846,0.979381443298969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.048969072164949,0.0,0.0
"(9689, 'dyne')",14.989690721649481,10.072164948453604,11.19587628865979,9.262886597938142,6.5824742268041225,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,3.9536082474226792,2.7010309278350513,0.773195876288659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9689, 'dyn1')",14.989690721649481,10.072164948453604,11.19587628865979,9.262886597938142,6.5824742268041225,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,3.9536082474226792,2.7010309278350513,1.103092783505154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9689, 'dyn2')",14.989690721649481,10.072164948453604,11.19587628865979,9.262886597938142,6.5824742268041225,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,4.840206185567009,3.5567010309278344,1.8298969072164941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788659793814433,0.0,0.0
"(9689, 'dyn3')",14.989690721649481,10.072164948453604,11.19587628865979,9.262886597938142,6.5824742268041225,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,5.659793814432988,4.773195876288658,3.902061855670101,1.4999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788659793814433,0.0,0.0
