BID,Nearest_FID,N_Metric_dyne,N_Metric_dyn1,N_Metric_dyn2,N_Metric_dyn3,block_M
1000515,7413,-0.358247422680412,0.0,0.0,-0.358247422680412,1.0
1001514,7537,-0.824742268041237,-0.824742268041237,-0.824742268041237,-0.824742268041237,0.994845361
1001515,7537,-0.628865979381443,-0.628865979381443,-0.628865979381443,-0.628865979381443,0.989690722
1002514,7537,0.0,0.0,0.0,0.0,0.984536082
1003514,7537,0.0,0.0,0.0,0.0,0.979381443
1003515,7537,-0.891752577319588,-0.891752577319588,-0.891752577319588,-0.891752577319588,0.974226804
1004515,7537,0.0,0.0,0.0,0.0,0.969072165
1005514,7537,0.0,0.0,0.0,0.0,0.963917526
1005515,7413,0.0,0.0,0.0,0.0,0.958762887
1006514,7537,0.0,0.0,0.0,0.0,0.953608247
1006515,7537,0.0,0.0,0.0,0.0,0.948453608
1007515,7537,0.0,0.0,0.0,0.0,0.943298969
1008514,7537,0.0,0.0,0.0,0.0,0.93814433
1008515,7537,0.0,0.0,0.0,0.0,0.932989691
1008516,9689,-0.536082474226804,-0.536082474226804,-0.536082474226804,-0.536082474226804,0.927835052
1009515,7537,-0.899484536082474,-0.899484536082474,-0.899484536082474,-0.899484536082474,0.922680412
1009516,9689,0.0,0.0,0.0,0.0,0.917525773
1010514,7537,0.0,0.0,0.0,0.0,0.912371134
1010515,7537,-0.881443298969072,-0.881443298969072,-0.881443298969072,-0.881443298969072,0.907216495
1011514,7537,0.0,0.0,0.0,0.0,0.902061856
1011515,7537,-0.762886597938144,-0.762886597938144,-0.762886597938144,-0.762886597938144,0.896907216
1011516,9689,0.0,0.0,0.0,0.0,0.891752577
1012514,7537,0.0,0.0,0.0,0.0,0.886597938
1012515,7537,0.0,0.0,0.0,0.0,0.881443299
1012516,9689,0.0,0.0,0.0,0.0,0.87628866
1013514,7537,0.0,0.0,0.0,0.0,0.871134021
1013515,7537,-0.644329896907217,-0.644329896907217,-0.644329896907217,-0.644329896907217,0.865979381
1013516,9689,0.0,-0.793814432989691,0.0,0.0,0.860824742
