,Block_y,Tract,BID,Pdamage_avg,inv_dist_avg,Pdamage_PR,Efficiency_PR,SVI_PR_total,metric_sum,metric_PR
107,2019,515,2019515,0,0.018181818,0.327319588,0.345360825,0.994845361,0.596134021,0.716494845
167,3036,514,3036514,0.206952178,0,0.989690722,0.739690722,0.041237113,0.585309278,0.711340206
23,1012,514,1012514,0.063027987,0,0.917525773,0.739690722,0.118556701,0.580154639,0.706185567
138,3000,514,3000514,3.33E-08,0,0.698453608,0.739690722,0.391752577,0.579896907,0.701030928
184,3054,514,3054514,0,0,0.327319588,0.739690722,0.845360825,0.575773196,0.695876289
20,1011,514,1011514,0.007190528,0,0.819587629,0.739690722,0.226804124,0.574484536,0.690721649
62,1026,516,1026516,0,0.022497472,0.327319588,0.262886598,0.953608247,0.571391753,0.68556701
193,3064,514,3064514,0,0,0.327319588,0.739690722,0.822164948,0.566494845,0.680412371
162,3030,514,3030514,0.004019661,0,0.798969072,0.739690722,0.219072165,0.561082474,0.675257732
9,1005,515,1005515,0,0.160384615,0.327319588,0.005154639,0.984536082,0.557989691,0.670103093
152,3017,514,3017514,0,0,0.327319588,0.739690722,0.798969072,0.557216495,0.664948454
25,1012,516,1012516,1.00E-07,0,0.75,0.739690722,0.268041237,0.556185567,0.659793814
79,2005,515,2005515,1.25E-08,0.024502327,0.659793814,0.237113402,0.505154639,0.555670103,0.654639175
165,3033,514,3033514,1.00E-07,0,0.75,0.739690722,0.25257732,0.55,0.649484536
27,1013,515,1013515,2.00E-08,0.00952381,0.670103093,0.443298969,0.422680412,0.548453608,0.644329897
86,2008,516,2008516,0,0.018901608,0.327319588,0.329896907,0.87628866,0.547164948,0.639175258
123,2036,516,2036516,0,0.051546937,0.327319588,0.06185567,0.93814433,0.545103093,0.634020619
3,1001,515,1001515,3.33E-08,0.00617284,0.698453608,0.463917526,0.371134021,0.544072165,0.628865979
30,1014,515,1014515,0,0.047619048,0.327319588,0.082474227,0.922680412,0.540979381,0.62371134
189,3060,514,3060514,0,0,0.327319588,0.739690722,0.75257732,0.538659794,0.618556701
168,3037,514,3037514,2.50E-08,0,0.682989691,0.739690722,0.304123711,0.537113402,0.613402062
186,3057,514,3057514,0,0,0.327319588,0.739690722,0.742268041,0.534536082,0.608247423
143,3006,514,3006514,0,0,0.327319588,0.739690722,0.726804124,0.528350515,0.603092784
91,2010,515,2010515,0,0.029140101,0.327319588,0.190721649,0.860824742,0.527061856,0.597938144
61,1026,515,1026515,0,0.033513814,0.327319588,0.149484536,0.871134021,0.527061856,0.592783505
47,1020,515,1020515,0,0.016244139,0.327319588,0.391752577,0.809278351,0.526546392,0.587628866
58,1025,515,1025515,0,0.018410431,0.327319588,0.340206186,0.804123711,0.519329897,0.582474227
50,1021,515,1021515,0,0.017033455,0.327319588,0.360824742,0.793814433,0.517268041,0.577319588
141,3003,514,3003514,0,0,0.327319588,0.739690722,0.695876289,0.515979381,0.572164948
145,3010,514,3010514,0,0,0.327319588,0.739690722,0.680412371,0.509793814,0.56443299
185,3056,514,3056514,0,0,0.327319588,0.739690722,0.680412371,0.509793814,0.56443299
114,2023,516,2023516,0,0.04945365,0.327319588,0.067010309,0.835051546,0.504381443,0.556701031
84,2007,516,2007516,0.004195804,0.015351313,0.804123711,0.412371134,0.134020619,0.496907216,0.551546392
187,3058,514,3058514,0,0,0.327319588,0.739690722,0.639175258,0.493298969,0.546391753
15,1008,516,1008516,1.43E-08,0.020896005,0.664948454,0.298969072,0.324742268,0.492268041,0.541237113
88,2009,515,2009515,0,0.037560814,0.327319588,0.113402062,0.783505155,0.488402062,0.536082474
