"","Block_y","Tract","BID","Pdamage_avg","inv_dist_avg","Pdamage_PR","Efficiency_PR","SVI_PR_total","metric_sum","metric_PR"
"1",1000,515,1000515,0,0.0664479683467025,0.327319587628866,0.0412371134020619,0.585051546391753,0.344587628865979,0.237113402061856
"2",1001,514,1001514,0.0284718304761905,0,0.881443298969072,0.922680412371134,0.518041237113402,0.748453608247423,0.850515463917526
"3",1001,515,1001515,3.33333333333333e-08,0.00940580901048959,0.698453608247423,0.572164948453608,0.371134020618557,0.529639175257732,0.597938144329897
"4",1002,514,1002514,0.0728365385714286,0,0.922680412371134,0.922680412371134,0.577319587628866,0.784536082474227,0.881443298969072
"5",1003,514,1003514,0.109959724,0,0.963917525773196,0.922680412371134,0.891752577319588,0.922680412371134,0.984536082474227
"6",1003,515,1003515,6.66666666666667e-08,0.0128205128205128,0.724226804123711,0.494845360824742,1,0.765721649484536,0.871134020618557
"7",1004,515,1004515,1e-07,0,0.75,0.922680412371134,0.927835051546392,0.872938144329897,0.95360824742268
"8",1005,514,1005514,0.0971567671428571,0,0.948453608247423,0.922680412371134,0.88659793814433,0.915979381443299,0.97680412371134
"9",1005,515,1005515,0,0.160384615384615,0.327319587628866,0.00515463917525773,0.984536082474227,0.493556701030928,0.54639175257732
"10",1006,514,1006514,0.0164314377777778,0,0.850515463917526,0.922680412371134,0.855670103092783,0.874226804123711,0.958762886597938
"11",1006,515,1006515,0,0.0352408573901449,0.327319587628866,0.134020618556701,0.646907216494845,0.397164948453608,0.355670103092784
"12",1007,515,1007515,0,0.030109978631484,0.327319587628866,0.195876288659794,0.185567010309278,0.231185567010309,0.0515463917525773
"13",1008,514,1008514,0.0207039433333333,0,0.876288659793814,0.922680412371134,0.963917525773196,0.925257731958763,0.989690721649485
"14",1008,515,1008515,0,0.0200766960635382,0.327319587628866,0.335051546391753,0.396907216494845,0.357474226804124,0.278350515463918
"15",1008,516,1008516,1.42857142857143e-08,0.0238114568672664,0.664948453608247,0.27319587628866,0.324742268041237,0.411340206185567,0.381443298969072
"16",1009,515,1009515,0.00357453888888889,0.00654160654160654,0.793814432989691,0.747422680412371,0.907216494845361,0.825257731958763,0.907216494845361
"17",1009,516,1009516,0,0.0223214285714286,0.327319587628866,0.309278350515464,0.360824742268041,0.335309278350515,0.211340206185567
"18",1010,514,1010514,0.0518811116666667,0,0.907216494845361,0.922680412371134,0.716494845360825,0.835567010309278,0.917525773195876
"19",1010,515,1010515,0.00728075545454545,0.00606060606060606,0.824742268041237,0.762886597938144,0.850515463917526,0.816494845360825,0.902061855670103
"20",1011,514,1011514,0.00719052846153846,0,0.819587628865979,0.922680412371134,0.22680412371134,0.61340206185567,0.731958762886598
"21",1011,515,1011515,7.5e-08,0.0143570572664418,0.731958762886598,0.458762886597938,0.61340206185567,0.602577319587629,0.711340206185567
"22",1011,516,1011516,0.00837212,0,0.829896907216495,0.922680412371134,0.494845360824742,0.723711340206186,0.829896907216495
"23",1012,514,1012514,0.0630279872727273,0,0.917525773195876,0.922680412371134,0.118556701030928,0.599484536082474,0.706185567010309
"24",1012,515,1012515,0,0.019951147044539,0.327319587628866,0.34020618556701,0.20360824742268,0.281701030927835,0.11340206185567
"25",1012,516,1012516,1e-07,0,0.75,0.922680412371134,0.268041237113402,0.609020618556701,0.719072164948454
"26",1013,514,1013514,0.34117112,0.00598802395209581,1,0.768041237113402,0.345360824742268,0.668556701030928,0.783505154639175
"27",1013,515,1013515,2e-08,0.0135028855240796,0.670103092783505,0.484536082474227,0.422680412371134,0.515463917525773,0.582474226804124
"28",1013,516,1013516,1e-07,0.00515463917525773,0.75,0.809278350515464,0.621134020618557,0.716237113402062,0.819587628865979
"29",1014,514,1014514,0.040685178,0,0.88659793814433,0.922680412371134,0.737113402061856,0.837628865979382,0.922680412371134
"30",1014,515,1014515,0,0.0476190476190476,0.327319587628866,0.0824742268041237,0.922680412371134,0.492010309278351,0.528350515463918
"31",1014,516,1014516,0.01835121,0,0.865979381443299,0.922680412371134,0.948453608247423,0.915979381443299,0.97680412371134
"32",1015,515,1015515,0,0.0384615384615385,0.327319587628866,0.108247422680412,0.463917525773196,0.316237113402062,0.190721649484536
"33",1015,516,1015516,0.01686409375,0.0026115592534555,0.855670103092783,0.835051546391753,0.902061855670103,0.868041237113402,0.943298969072165
"34",1016,514,1016514,0.174336418333333,0,0.984536082474227,0.922680412371134,0.664948453608247,0.838144329896907,0.927835051546392
"35",1016,515,1016515,0,0.0792616629210832,0.327319587628866,0.0257731958762887,0.597938144329897,0.345103092783505,0.242268041237113
