"","Block_y","Tract","BID","Pdamage_avg","inv_dist_avg","Pdamage_PR","Efficiency_PR","SVI_PR_total","metric_sum","metric_PR"
"1",1000,515,1000515,0,0.072008547008547,0.327319587628866,0.0360824742268041,0.585051546391753,0.394587628865979,0.350515463917526
"2",1001,514,1001514,0.0284718304761905,0,0.881443298969072,0.922680412371134,0.518041237113402,0.675773195876289,0.768041237113402
"3",1001,515,1001515,3.33333333333333e-08,0.0162463689179375,0.698453608247423,0.427835051546392,0.371134020618557,0.420876288659794,0.38659793814433
"4",1002,514,1002514,0.0728365385714286,0,0.922680412371134,0.922680412371134,0.577319587628866,0.715463917525773,0.804123711340206
"5",1003,514,1003514,0.109959724,0,0.963917525773196,0.922680412371134,0.891752577319588,0.908247422680412,0.974226804123711
"6",1003,515,1003515,6.66666666666667e-08,0.0128205128205128,0.724226804123711,0.525773195876289,1,0.830154639175258,0.922680412371134
"7",1004,515,1004515,1e-07,0,0.75,0.922680412371134,0.927835051546392,0.908505154639175,0.979381443298969
"8",1005,514,1005514,0.0971567671428571,0,0.948453608247423,0.922680412371134,0.88659793814433,0.90360824742268,0.969072164948454
"9",1005,515,1005515,0,0.160384615384615,0.327319587628866,0.00515463917525773,0.984536082474227,0.625,0.701030927835051
"10",1006,514,1006514,0.0164314377777778,0,0.850515463917526,0.922680412371134,0.855670103092783,0.875257731958763,0.95360824742268
"11",1006,515,1006515,0,0.0352408573901449,0.327319587628866,0.134020618556701,0.646907216494845,0.461082474226804,0.445876288659794
"12",1007,515,1007515,0,0.030109978631484,0.327319587628866,0.195876288659794,0.185567010309278,0.202835051546392,0.0721649484536082
"13",1008,514,1008514,0.0207039433333333,0,0.876288659793814,0.922680412371134,0.963917525773196,0.942783505154639,0.994845360824742
"14",1008,515,1008515,0,0.0200766960635382,0.327319587628866,0.345360824742268,0.396907216494845,0.374484536082474,0.314432989690722
"15",1008,516,1008516,1.42857142857143e-08,0.0238114568672664,0.664948453608247,0.278350515463918,0.324742268041237,0.344845360824742,0.268041237113402
"16",1009,515,1009515,0.00357453888888889,0.00654160654160654,0.793814432989691,0.778350515463918,0.907216494845361,0.857216494845361,0.943298969072165
"17",1009,516,1009516,0,0.0223214285714286,0.327319587628866,0.314432989690722,0.360824742268041,0.343556701030928,0.260309278350515
"18",1010,514,1010514,0.0518811116666667,0,0.907216494845361,0.922680412371134,0.716494845360825,0.797422680412371,0.891752577319588
"19",1010,515,1010515,0.00728075545454545,0.00606060606060606,0.824742268041237,0.793814432989691,0.850515463917526,0.830927835051546,0.927835051546392
"20",1011,514,1011514,0.00719052846153846,0,0.819587628865979,0.922680412371134,0.22680412371134,0.494845360824742,0.515463917525773
"21",1011,515,1011515,7.5e-08,0.01641155260181,0.731958762886598,0.422680412371134,0.61340206185567,0.568041237113402,0.623711340206186
"22",1011,516,1011516,0.00837212,0,0.829896907216495,0.922680412371134,0.494845360824742,0.656701030927835,0.752577319587629
"23",1012,514,1012514,0.0630279872727273,0,0.917525773195876,0.922680412371134,0.118556701030928,0.439690721649485,0.422680412371134
"24",1012,515,1012515,0,0.0260695187165776,0.327319587628866,0.237113402061856,0.20360824742268,0.226030927835052,0.0927835051546392
"25",1012,516,1012516,1e-07,0,0.75,0.922680412371134,0.268041237113402,0.512628865979381,0.577319587628866
"26",1013,514,1013514,0.34117112,0.00980392156862745,1,0.597938144329897,0.345360824742268,0.48659793814433,0.510309278350515
"27",1013,515,1013515,2e-08,0.0201261156658124,0.670103092783505,0.34020618556701,0.422680412371134,0.422680412371134,0.396907216494845
"28",1013,516,1013516,1e-07,0.012987012987013,0.75,0.518041237113402,0.621134020618557,0.603092783505155,0.670103092783505
"29",1014,514,1014514,0.040685178,0,0.88659793814433,0.922680412371134,0.737113402061856,0.807731958762887,0.912371134020619
"30",1014,515,1014515,0,0.0476190476190476,0.327319587628866,0.0824742268041237,0.922680412371134,0.611082474226804,0.675257731958763
"31",1014,516,1014516,0.01835121,0,0.865979381443299,0.922680412371134,0.948453608247423,0.932474226804124,0.989690721649485
"32",1015,515,1015515,0,0.0384615384615385,0.327319587628866,0.108247422680412,0.463917525773196,0.343556701030928,0.260309278350515
"33",1015,516,1015516,0.01686409375,0.00672165672165673,0.855670103092783,0.752577319587629,0.902061855670103,0.852577319587629,0.938144329896907
"34",1016,514,1016514,0.174336418333333,0,0.984536082474227,0.922680412371134,0.664948453608247,0.774226804123711,0.881443298969072
"35",1016,515,1016515,0,0.0792616629210832,0.327319587628866,0.0257731958762887,0.597938144329897,0.399226804123711,0.360824742268041
"36",1016,516,1016516,1e-07,0,0.75,0.922680412371134,0.561855670103093,0.688917525773196,0.783505154639175
"37",1017,514,1017514,6e-08,0,0.716494845360825,0.922680412371134,0.690721649484536,0.762886597938144,0.865979381443299
"38",1017,515,1017515,0,0.0561557456734087,0.327319587628866,0.0515463917525773,0.195876288659794,0.165721649484536,0.038659793814433
"39",1017,516,1017516,0.00485039769230769,0.0124302725327858,0.809278350515464,0.530927835051546,0.829896907216495,0.738144329896907,0.829896907216495
"40",1018,514,1018514,0.011653895,0.005,0.84020618556701,0.829896907216495,0.355670103092784,0.54639175257732,0.61340206185567
"41",1018,515,1018515,0,0.032258064516129,0.327319587628866,0.15979381443299,0.556701030927835,0.414690721649485,0.381443298969072
"42",1018,516,1018516,0,0.029033865101456,0.327319587628866,0.216494845360825,0.286082474226804,0.269329896907216,0.149484536082474
"43",1019,514,1019514,0.0951458825,0,0.943298969072165,0.922680412371134,0.865979381443299,0.890721649484536,0.958762886597938
"44",1019,515,1019515,0,0.0373925619657625,0.327319587628866,0.123711340206186,0.551546391752577,0.400773195876289,0.365979381443299
"45",1019,516,1019516,0,0.0341689385807033,0.327319587628866,0.139175257731959,0.154639175257732,0.167268041237113,0.0463917525773196
"46",1020,514,1020514,0.014465984,0,0.845360824742268,0.922680412371134,0.585051546391753,0.712371134020619,0.798969072164949
"47",1020,515,1020515,0,0.0162441389239236,0.327319587628866,0.43298969072165,0.809278350515464,0.64819587628866,0.737113402061856
"48",1020,516,1020516,0,0.0339239702866705,0.327319587628866,0.144329896907216,0.711340206185567,0.502835051546392,0.54639175257732
"49",1021,514,1021514,0.1464885,0,0.974226804123711,0.922680412371134,0.541237113402062,0.698969072164948,0.793814432989691
"50",1021,515,1021515,0,0.0170334547213229,0.327319587628866,0.402061855670103,0.793814432989691,0.629639175257732,0.711340206185567
"51",1022,515,1022515,0,0.0204284914666523,0.327319587628866,0.335051546391753,0.65979381443299,0.529123711340206,0.592783505154639
"52",1023,514,1023514,0.118322381666667,0,0.969072164948454,0.922680412371134,0.721649484536082,0.806701030927835,0.907216494845361
"53",1023,515,1023515,0,0.0243018737468818,0.327319587628866,0.27319587628866,0.139175257731959,0.19819587628866,0.0670103092783505
"54",1024,514,1024514,0.0469199888888889,0,0.896907216494845,0.922680412371134,0.706185567010309,0.79020618556701,0.88659793814433
"55",1024,515,1024515,0,0.0263190318434676,0.327319587628866,0.231958762886598,0.701030927835051,0.522938144329897,0.587628865979381
"56",1024,516,1024516,1e-07,0,0.75,0.922680412371134,0.912371134020619,0.899226804123711,0.963917525773196
"57",1025,514,1025514,0.0177574471428571,0,0.860824742268041,0.922680412371134,0.458762886597938,0.638144329896907,0.721649484536082
"58",1025,515,1025515,0,0.0184104308029099,0.327319587628866,0.376288659793814,0.804123711340206,0.628092783505155,0.706185567010309
"59",1025,516,1025516,6.66666666666667e-08,0.0141908212560386,0.724226804123711,0.479381443298969,0.881443298969072,0.745103092783505,0.850515463917526
"60",1026,514,1026514,0.169851186,0,0.979381443298969,0.922680412371134,0.448453608247423,0.643814432989691,0.731958762886598
"61",1026,515,1026515,0,0.0335138143450328,0.327319587628866,0.154639175257732,0.871134020618557,0.60180412371134,0.664948453608247
"62",1026,516,1026516,0,0.0224974721941355,0.327319587628866,0.304123711340206,0.95360824742268,0.696134020618557,0.788659793814433
"63",1027,515,1027515,0,0.0491327076198677,0.327319587628866,0.077319587628866,0.304123711340206,0.23840206185567,0.108247422680412
"64",1027,516,1027516,0,0.0234294965142408,0.327319587628866,0.288659793814433,0.402061855670103,0.360567010309278,0.293814432989691
"65",1028,515,1028515,0,0.0686745245968392,0.327319587628866,0.0412371134020619,0.768041237113402,0.505927835051546,0.551546391752577
"66",2000,514,2000514,0.0001210375,0.00802422586744049,0.768041237113402,0.675257731958763,0.525773195876289,0.594845360824742,0.654639175257732
"67",2000,515,2000515,0.09139247,0,0.93298969072165,0.922680412371134,0.822164948453608,0.86340206185567,0.948453608247423
"68",2001,514,2001514,0,0.00869405522105272,0.327319587628866,0.649484536082474,0.11340206185567,0.295618556701031,0.193298969072165
"69",2001,515,2001515,0.1042896,0,0.958762886597938,0.922680412371134,0.974226804123711,0.957216494845361,1
"70",2002,515,2002515,0.0617580533333333,0,0.912371134020619,0.922680412371134,0.654639175257732,0.760824742268041,0.860824742268041
"71",2002,516,2002516,0.005020818,0.0104336315004305,0.814432989690722,0.577319587628866,0.54639175257732,0.582474226804124,0.634020618556701
"72",2003,514,2003514,0,0.00853843261157562,0.327319587628866,0.65979381443299,0.56701030927835,0.570876288659794,0.628865979381443
"73",2003,515,2003515,0.00212658,0,0.783505154639175,0.922680412371134,0.747422680412371,0.80360824742268,0.896907216494845
"74",2003,516,2003516,0.00037881,0.0230646871686108,0.77319587628866,0.298969072164948,0.958762886597938,0.742268041237113,0.84020618556701
"75",2004,514,2004514,0,0.014427714339461,0.327319587628866,0.469072164948454,0.518041237113402,0.484278350515464,0.505154639175258
"76",2004,515,2004515,2.72727272727273e-08,0.016912820155328,0.690721649484536,0.407216494845361,0.237113402061856,0.333505154639175,0.247422680412371
"77",2004,516,2004516,0.09173235875,0,0.938144329896907,0.922680412371134,0.775773195876289,0.836082474226804,0.93298969072165
"78",2005,514,2005514,0,0.012987012987013,0.327319587628866,0.518041237113402,0.484536082474227,0.478865979381443,0.489690721649485
"79",2005,515,2005515,1.25e-08,0.0245023269413513,0.65979381443299,0.257731958762887,0.505154639175258,0.44639175257732,0.427835051546392
"80",2005,516,2005516,0.0473461830769231,0.0100306376964507,0.902061855670103,0.592783505154639,0.788659793814433,0.741237113402062,0.835051546391753
"81",2006,515,2006515,0,0.0297413793103449,0.327319587628866,0.201030927835052,0.350515463917526,0.303350515463918,0.201030927835052
"82",2006,516,2006516,0,0.0168126602855838,0.327319587628866,0.412371134020619,0.381443298969072,0.385309278350515,0.332474226804124
"83",2007,515,2007515,2.5e-08,0.0311065635337094,0.68298969072165,0.180412371134021,0.242268041237113,0.267783505154639,0.144329896907216
"84",2007,516,2007516,0.00419580428571429,0.0175834562176154,0.804123711340206,0.38659793814433,0.134020618556701,0.27680412371134,0.15979381443299
"85",2008,515,2008515,5e-08,0.0370879120879121,0.706185567010309,0.128865979381443,0.814432989690722,0.597938144329897,0.65979381443299
"86",2008,516,2008516,0,0.0189016076516077,0.327319587628866,0.360824742268041,0.876288659793814,0.666752577319588,0.762886597938144
"87",2009,514,2009514,0,0.0131458412434384,0.327319587628866,0.510309278350515,0.979381443298969,0.773453608247423,0.876288659793814
"88",2009,515,2009515,0,0.0375608142765006,0.327319587628866,0.11340206185567,0.783505154639175,0.536855670103093,0.603092783505155
"89",2009,516,2009516,2.22222222222222e-08,0.0184802388429741,0.675257731958763,0.371134020618557,0.15979381443299,0.274742268041237,0.154639175257732
"90",2010,514,2010514,0,0.0140217473239861,0.327319587628866,0.484536082474227,0.93298969072165,0.737886597938144,0.824742268041237
"91",2010,515,2010515,0,0.029140101424326,0.327319587628866,0.211340206185567,0.860824742268041,0.612628865979381,0.680412371134021
"92",2010,516,2010516,0,0.0238047833859778,0.327319587628866,0.283505154639175,0.34020618556701,0.321907216494845,0.211340206185567
"93",2011,515,2011515,0,0.0243526240663577,0.327319587628866,0.262886597938144,0.180412371134021,0.219845360824742,0.0876288659793814
"94",2011,516,2011516,0.010992513,0.019118770611586,0.835051546391753,0.355670103092784,0.530927835051546,0.508762886597938,0.556701030927835
"95",2012,515,2012515,0,0.0216350344966305,0.327319587628866,0.319587628865979,0.365979381443299,0.34819587628866,0.278350515463918
"96",2012,516,2012516,0.00134545111111111,0.0313064196334737,0.778350515463918,0.170103092783505,0.077319587628866,0.175257731958763,0.0515463917525773
"97",2013,515,2013515,0,0.0188432247461357,0.327319587628866,0.365979381443299,0.247422680412371,0.290979381443299,0.180412371134021
"98",2013,516,2013516,0.044719815,0.030530183883103,0.891752577319588,0.185567010309278,0.608247422680412,0.50979381443299,0.56701030927835
"99",2014,515,2014515,0,0.0166955640088508,0.327319587628866,0.417525773195876,0.164948453608247,0.256958762886598,0.134020618556701
"100",2015,515,2015515,0,0.0155921387381276,0.327319587628866,0.448453608247423,0.304123711340206,0.349742268041237,0.283505154639175
"101",2016,515,2016515,0,0.0143892339544513,0.327319587628866,0.474226804123711,0.592783505154639,0.530670103092784,0.597938144329897
"102",2016,516,2016516,0,0.0213151927437642,0.327319587628866,0.324742268041237,0.634020618556701,0.510567010309278,0.572164948453608
"103",2017,515,2017515,0,0.0144476329705633,0.327319587628866,0.463917525773196,0.0154639175257732,0.181185567010309,0.0567010309278351
"104",2017,516,2017516,0,0.0297319781173506,0.327319587628866,0.206185567010309,0.190721649484536,0.209020618556701,0.0824742268041237
"105",2018,515,2018515,0,0.0260159736903923,0.327319587628866,0.242268041237113,0.0103092783505155,0.11159793814433,0.0154639175257732
"106",2018,516,2018516,0,0.082890564344858,0.327319587628866,0.0206185567010309,0.45360824742268,0.311082474226804,0.206185567010309
"107",2019,515,2019515,0,0.0181818181818182,0.327319587628866,0.381443298969072,0.994845360824742,0.744072164948454,0.845360824742268
"108",2019,516,2019516,0,0.0739756811815635,0.327319587628866,0.0309278350515464,0.762886597938144,0.499742268041237,0.541237113402062
"109",2020,515,2020515,5.55555555555556e-08,0.0243463427723236,0.711340206185567,0.268041237113402,0.84020618556701,0.655670103092784,0.747422680412371
"110",2020,516,2020516,0,0.0591821119889212,0.327319587628866,0.0463917525773196,0.0309278350515464,0.0652061855670103,0.00515463917525773
"111",2021,516,2021516,0,0.0233441453504479,0.327319587628866,0.293814432989691,0.427835051546392,0.377577319587629,0.324742268041237
"112",2022,515,2022515,0.303130843333333,0,0.994845360824742,0.922680412371134,0.917525773195876,0.92680412371134,0.984536082474227
"113",2022,516,2022516,0.0201294875,0.0253242360970227,0.871134020618557,0.247422680412371,0.757731958762887,0.615979381443299,0.690721649484536
"114",2023,516,2023516,0,0.0494536496168613,0.327319587628866,0.0670103092783505,0.835051546391753,0.553865979381443,0.618556701030928
"115",2024,516,2024516,0,0.0434902295446214,0.327319587628866,0.0927835051546392,0.438144329896907,0.323453608247423,0.221649484536082
"116",2025,516,2025516,0,0.0493621536285608,0.327319587628866,0.0721649484536082,0.775773195876289,0.519845360824742,0.582474226804124
"117",2026,516,2026516,0,0.0872894670688788,0.327319587628866,0.0154639175257732,0.731958762886598,0.476546391752577,0.479381443298969
"118",2027,516,2027516,0,0.0995397485593564,0.327319587628866,0.0103092783505155,0.0979381443298969,0.0945876288659794,0.0103092783505155
"119",2029,516,2029516,0,0.0374282122372967,0.327319587628866,0.118556701030928,0.680412371134021,0.476546391752577,0.484536082474227
"120",2030,516,2030516,0,0.0223918378170414,0.327319587628866,0.309278350515464,0.0670103092783505,0.165721649484536,0.038659793814433
"121",2034,516,2034516,0,0.040644413305273,0.327319587628866,0.0979381443298969,0.0927835051546392,0.117783505154639,0.0206185567010309
"122",2035,516,2035516,0,0.0470659407138536,0.327319587628866,0.0876288659793814,0.443298969072165,0.325,0.22680412371134
"123",2036,516,2036516,0,0.0515469373092371,0.327319587628866,0.0618556701030928,0.938144329896907,0.614175257731959,0.685567010309278
"124",2037,516,2037516,0,0.0406245501180679,0.327319587628866,0.103092783505155,0.536082474226804,0.385309278350515,0.332474226804124
"125",2038,516,2038516,0,0.0338627800986517,0.327319587628866,0.149484536082474,0.414948453608247,0.326546391752577,0.231958762886598
"126",2039,516,2039516,0,0.0321613962603952,0.327319587628866,0.164948453608247,0.621134020618557,0.454896907216495,0.435567010309278
"127",2040,516,2040516,0,0.0302324552533118,0.327319587628866,0.190721649484536,0.510309278350515,0.396134020618557,0.355670103092784
"128",2041,516,2041516,0,0.0524855330801622,0.327319587628866,0.0567010309278351,0.646907216494845,0.437886597938144,0.417525773195876
"129",2042,516,2042516,0,0.0175438596491228,0.327319587628866,0.391752577319588,0.144329896907216,0.236855670103093,0.103092783505155
"130",2045,516,2045516,0,0.02504741978919,0.327319587628866,0.252577319587629,0.286082474226804,0.280154639175258,0.164948453608247
"131",2046,516,2046516,0,0.0269163647463021,0.327319587628866,0.221649484536082,0.108247422680412,0.164175257731959,0.0309278350515464
"132",2047,516,2047516,0,0.0312729450660485,0.327319587628866,0.175257731958763,0.126288659793814,0.161082474226804,0.0257731958762887
"133",2048,516,2048516,0,0.0263921915391041,0.327319587628866,0.22680412371134,0.319587628865979,0.292525773195876,0.185567010309278
"134",2049,516,2049516,0,0.0212854547093678,0.327319587628866,0.329896907216495,0.628865979381443,0.509020618556701,0.561855670103093
"135",2050,516,2050516,0,0.0196078431372549,0.327319587628866,0.350515463917526,0.149484536082474,0.227577319587629,0.0979381443298969
"136",2051,516,2051516,0,0.0174031476997579,0.327319587628866,0.396907216494845,0.0567010309278351,0.185824742268041,0.0618556701030928
"137",2052,516,2052516,0,0.0158770161290323,0.327319587628866,0.438144329896907,0.335051546391753,0.36520618556701,0.298969072164948
"138",3000,514,3000514,3.33333333333333e-08,0.0135752190546711,0.698453608247423,0.5,0.391752577319588,0.454896907216495,0.435567010309278
"139",3001,514,3001514,0,0.0153609580546425,0.327319587628866,0.45360824742268,0.5,0.468814432989691,0.463917525773196
"140",3002,514,3002514,0,0.015625,0.327319587628866,0.443298969072165,0.126288659793814,0.241494845360825,0.11340206185567
"141",3003,514,3003514,0,0.0146470760647123,0.327319587628866,0.458762886597938,0.695876288659794,0.587886597938144,0.639175257731959
"142",3005,514,3005514,0.077246455,0.00901950737508361,0.927835051546392,0.628865979381443,0.670103092783505,0.683505154639175,0.778350515463918
"143",3006,514,3006514,0,0.0105263157894737,0.327319587628866,0.572164948453608,0.72680412371134,0.640463917525773,0.72680412371134
"144",3007,514,3007514,0,0.00974570095886896,0.327319587628866,0.603092783505155,0.0876288659793814,0.266237113402062,0.139175257731959
"145",3010,514,3010514,0,0.0078581487892883,0.327319587628866,0.701030927835051,0.680412371134021,0.651288659793814,0.742268041237113
"146",3011,514,3011514,0,0.00871783099155272,0.327319587628866,0.644329896907217,0.0489690721649485,0.255412371134021,0.128865979381443
"147",3012,514,3012514,0,0.00899249793079972,0.327319587628866,0.634020618556701,0.43298969072165,0.482731958762887,0.5
"148",3013,514,3013514,0,0.00925925925925926,0.327319587628866,0.61340206185567,0.407216494845361,0.461082474226804,0.445876288659794
"149",3014,514,3014514,0,0.0109925514057446,0.327319587628866,0.56701030927835,0.00515463917525773,0.205927835051546,0.077319587628866
"150",3015,514,3015514,0,0.0118174221942235,0.327319587628866,0.541237113402062,0.262886597938144,0.352835051546392,0.288659793814433
"151",3016,514,3016514,0,0.013230063772807,0.327319587628866,0.505154639175258,0.969072164948454,0.765721649484536,0.871134020618557
"152",3017,514,3017514,0,0.0117647058823529,0.327319587628866,0.54639175257732,0.798969072164949,0.676030927835052,0.77319587628866
"153",3018,514,3018514,0,0.0138906753560429,0.327319587628866,0.494845360824742,0.469072164948454,0.462628865979381,0.458762886597938
"154",3019,514,3019514,0,0.0139866979655712,0.327319587628866,0.489690721649485,0.489690721649485,0.473453608247423,0.474226804123711
"155",3020,514,3020514,0,0.0113164451827243,0.327319587628866,0.556701030927835,0.0721649484536082,0.243041237113402,0.118556701030928
"156",3021,514,3021514,0,0.0118734648199518,0.327319587628866,0.536082474226804,0.47680412371134,0.479639175257732,0.494845360824742
"157",3025,514,3025514,2.77777777777778e-09,0.00687062908964345,0.654639175257732,0.742268041237113,0.20360824742268,0.410309278350516,0.376288659793814
"158",3026,514,3026514,0,0.00790625,0.327319587628866,0.685567010309278,0.943298969072165,0.804381443298969,0.902061855670103
"159",3027,514,3027514,0,0.00668825170778111,0.327319587628866,0.757731958762887,0.0360824742268041,0.281701030927835,0.170103092783505
"160",3028,514,3028514,0,0.00661404909749281,0.327319587628866,0.762886597938144,0.219072164948454,0.393041237113402,0.345360824742268
"161",3029,514,3029514,0,0.00851793964143902,0.327319587628866,0.664948453608247,0.231958762886598,0.37139175257732,0.304123711340206
"162",3030,514,3030514,0.00401966142857143,0.00480524121639104,0.798969072164949,0.835051546391753,0.219072164948454,0.461855670103093,0.45360824742268
"163",3031,514,3031514,0,0.0072054158841197,0.327319587628866,0.721649484536082,0.572164948453608,0.592525773195876,0.649484536082474
"164",3032,514,3032514,0.101043,0.00909767595732363,0.95360824742268,0.618556701030928,0.175257731958763,0.386082474226804,0.34020618556701
