BID,Nearest_FID,N,M,block_M
3041514,7413,0,0.0,0.530927835051546
3042514,7413,0,0.0,0.288659793814433
3043514,7413,0,0.0,0.793814432989691
3044514,7413,0,0.0,0.365979381443299
3045514,7413,0,0.0,0.216494845360825
3046514,7413,0,0.0,0.43298969072165
3047514,7413,0,0.0,0.309278350515464
3048514,7413,1,0.577319587628866,0.577319587628866
3049514,7413,0,0.0,0.56701030927835
3050514,7413,0,0.0,0.536082474226804
3051514,7413,0,0.0,0.329896907216495
3052514,7413,0,0.0,0.525773195876289
3054514,7413,0,0.0,0.850515463917526
3056514,7413,0,0.0,0.721649484536082
3057514,7413,0,0.0,0.752577319587629
3058514,7413,0,0.0,0.634020618556701
3059514,7413,0,0.0,0.257731958762887
3060514,7413,0,0.0,0.809278350515464
3061514,7413,0,0.0,0.561855670103093
3062514,7413,0,0.0,0.701030927835051
3063514,7413,0,0.0,0.355670103092784
3064514,7413,0,0.0,0.829896907216495
3066514,7413,0,0.0,0.881443298969072
